	Nackley_10_AGTTCC_L004_R1._O10_E1.fq	Nackley_11_GTCCGC_L004_R1._O10_E1.fq	Nackley_12_GTGAAA_L004_R1._O10_E1.fq	Nackley_13_CGTACG_L004_R1._O10_E1.fq	Nackley_14_GAGTGG_L004_R1._O10_E1.fq	Nackley_15_TGACCA_L005_R1._O10_E1.fq	Nackley_16_GCCAAT_L005_R1._O10_E1.fq	Nackley_17_CAGATC_L005_R1._O10_E1.fq	Nackley_18_ACTTGA_L005_R1._O10_E1.fq	Nackley_19_GTAGAG_L005_R1._O10_E1.fq	Nackley_1_ATCACG_L003_R1._O10_E1.fq	Nackley_20_GGTAGC_L005_R1._O10_E1.fq	Nackley_2_CGATGT_L003_R1._O10_E1.fq	Nackley_3_TTAGGC_L003_R1._O10_E1.fq	Nackley_4_GATCAG_L003_R1._O10_E1.fq	Nackley_5_CTTGTA_L003_R1._O10_E1.fq	Nackley_6_AGTCAA_L003_R1._O10_E1.fq	Nackley_7_CCGTCC_L003_R1._O10_E1.fq	Nackley_8_ACAGTG_L004_R1._O10_E1.fq	Nackley_9_TAGCTT_L004_R1._O10_E1.fq
30	0.0237056938093	0.0364632556897	0.032469290326	0.0906259961204	0.0993100218787	0.0751924190385	0.100400042382	0.0948453279967	0.0947888677752	0.0978489664997	0.150317290821	0.176246880306	0.165159488954	0.065366731436	0.106295964537	0.242108969619	0.0653033863057	0.0880499298322	0.0273630467925	0.0422218601797
31	0.0152217260791	0.0222381901693	0.0260329321123	0.0624695292874	0.052660250838	0.0434556572419	0.0592734821371	0.0864667533213	0.0938495166245	0.0668343081357	0.0482959935394	0.116334173529	0.0950056174281	0.0641830249255	0.0548722692338	0.138639667244	0.0591575555878	0.0556560100694	0.0205249291508	0.0274373175605
32	0.00369544506167	0.00486969166293	0.00390992573943	0.0197660625755	0.0116290416647	0.0135328509801	0.0118557862047	0.0204889378009	0.0164956255287	0.0120902229569	0.0115843481356	0.0177220947952	0.0164296888807	0.0239699089501	0.0135880545016	0.0218285672462	0.0189259361551	0.0160594926449	0.00602227932358	0.00579313959978
33	0.00145574353531	0.00179082231544	0.00162436813122	0.00927621646002	0.00574534071231	0.0069178979057	0.00723953914111	0.010390659976	0.00771464741041	0.00559686969067	0.0074336094697	0.0090959798651	0.00889134921096	0.0124987960881	0.00745847299632	0.00643569853924	0.0108488995836	0.00927019870871	0.00268363339527	0.00215287832745
34	0.000633520333213	0.00116009275073	0.000828117630559	0.00513199873639	0.00336424112623	0.00522048511822	0.00428901666473	0.00588892756991	0.00425211807341	0.00407259218078	0.00585906994692	0.00673594646007	0.00713246194692	0.00911974583733	0.00568446487353	0.0044982748021	0.00809669096198	0.00604783679428	0.00146338034228	0.000939729860173
35	0.000399890192585	0.000652772108977	0.000481642795459	0.00425765523591	0.00219139369363	0.00489996769627	0.00303418765103	0.00477531764211	0.00280912629184	0.00316216123292	0.00502405111934	0.00404188603397	0.00585505954424	0.0100087088352	0.00551393734296	0.00314527011027	0.00708751360351	0.00606371227566	0.00104444428123	0.00067610169928
36	0.00010380323304	0.000183329453487	0.000153507600551	0.00178403023846	0.000766749999868	0.00195732134967	0.00158592316842	0.00255299013428	0.00129350834101	0.00125834490749	0.00235373314032	0.00205821017388	0.0040342661859	0.00685803674274	0.00333989310443	0.0017480609803	0.00399146113925	0.00423280022384	0.000356947625648	0.000204222588854
37	4.11382247265e-05	8.13277021068e-05	8.74742021949e-05	0.000949224753672	0.000347177636053	0.00113797444461	0.000628851031457	0.00110481228491	0.000686507931526	0.000729926001081	0.00155864131602	0.00118905704354	0.00188691032403	0.00360942491555	0.0022331108349	0.00114044481171	0.00265010298307	0.0026239645082	0.000188315578634	9.88223164043e-05
38	3.29355625088e-05	6.84736241897e-05	6.79047902124e-05	0.000782281506834	0.000286584481917	0.00106897715951	0.000568269321219	0.000911521633447	0.00054483575629	0.00062690195127	0.0016372612152	0.00105457712078	0.00198596007491	0.00391126711796	0.00247827356508	0.00113543423307	0.00289270511638	0.00306541113257	0.000148360947286	9.12245222122e-05
39	6.75366401887e-05	0.000116859696958	0.00010009273014	0.00124839276404	0.000622136687235	0.00236749213966	0.000927499544151	0.00152353717086	0.000910616853298	0.00113853535724	0.00305586764155	0.0017618965068	0.00440802815829	0.00826553684118	0.00571568762179	0.00226875288851	0.00658400483584	0.00658219106539	0.000200990262108	0.000166284609801
40	1.65302380733e-05	2.89827688397e-05	2.68411060525e-05	0.000312957228033	0.000135762132414	0.00056762783322	0.000306623701041	0.000472283219213	0.000247914682756	0.000308017987569	0.000905907407029	0.000590338149106	0.00144853975779	0.00263331810689	0.00216891173196	0.000842482402477	0.00208849497315	0.00289204365974	5.61547234705e-05	4.31391536006e-05
41	6.95352583941e-06	1.11434591829e-05	8.92921257124e-06	7.63985133885e-05	3.31588990294e-05	0.00018000300856	8.06435194338e-05	0.000122780762396	6.58843033507e-05	8.29544297179e-05	0.00036046824502	0.000164472127115	0.00053999711901	0.000852323406691	0.000865811086377	0.000351631273671	0.000752968339423	0.00102162330766	1.5234801659e-05	1.23400415737e-05
42	4.16378792779e-08	0	5.34683387499e-08	1.78501199506e-07	1.32107167448e-07	1.98934988278e-07	9.90706626951e-08	2.14576655708e-07	0	3.6490218351e-07	6.53350962678e-07	3.87997469015e-07	9.42732400506e-07	1.36797666454e-06	7.69875984527e-07	6.30961753474e-07	1.13390714434e-06	1.62362877785e-06	1.67876602303e-07	1.01983814659e-07
